재료_아이디,재료_이름,제철,보관온도,100g당 열량,잘맞는 음식,안맞는 음식,효능,구입요령,손질법,조리법,보관법,설명
339,돼지고기사태,연중제철,0~5℃,120Kcal,,,"피부미용, 스트레스완화",선명한 담홍색에 윤이 나고 탄력있는 것이 좋다.,깔끔하게 씻은 고기는 고기 결과 직각으로 썰어 사용한다.,통으로 삶아 보쌈이나 장조림으로 사용한다.,"단기간 보관시 냉장보관, 장기간 보관시 냉동보관한다.",
340,돼지고기삼겹살,연중제철,0~5℃,348Kcal,,,"성인병예방, 동맥경화예방, 뇌질환예방, 피부미용, 노폐물배출","육질 등급을 확인하고, 옅은 선홍색 빛에 비계층 구분이 선명한 것이 좋다.",기호에 따라 소금이나 와인으로 숙성시킨 뒤 사용한다.,"보통 구워먹거나 베이컨으로 가공하여 먹는다. 조림, 찜 등으로 활용하기도 한다.","단기 보관시 냉장보관, 장기 보관시 냉동 보관한다.",
341,들깨가루,연중제철,0~5℃,540Kcal,,,"시력개선, 면역력강화, 체질개선",유통기한을 확인하고 구입한다.,바로 사용한다.,"국이나 탕, 찌개, 무침 등에 사용한다.",직사광선을 피해 보관한고 냉장 보관한다.,
342,명이나물,3~5월,1~5℃,37Kcal,돼지고기,,"노화예방, 항산화작용, 다이어트",5월 이 후의 나물은 사지 않는다.,흐르는 물에 헹궈 사용한다.,주로 장아찌로 만든 것으로 알려져 있다.,물기를 제거하고 냉장보관한다.,
343,무순,연중제철,1~5℃,26Kcal,양상추,,"혈액순환, 붓기제거, 다이어트",유통기한을 확인하고 싱싱한지 확인하고 구매한다,흐르는 물에 씻어 사용한다.,"갤러드, 비빔밥, 나물, 냉채 등에 사용하고, 이 외에는 고명으로 올려 사용하기도 한다.","먹을 만큼 구입하고, 밀봉하여 냉장보관한다.",
344,멸치 육수,연중제철,1~5℃,,,,,유통기한을 확인하고 구입한다.,끓는 물에 넣어 국물이 우러날 때 가지 사용한다.,"육수내기 용으로, 끓인 육수는 다양하게 활용한다.",직사광선이 닿지 않는 건냉한 곳에서 보관한다.,
345,물엿,,10~15℃,293Kcal,,,,통이 부풀어오르거나 뜯어진 것은 구매하지 않는다.,바로 사용 가능하다.,설탕 대신 깊은 단 맛을 내고 싶은 부분에 사용한다.,직사광선을 피해 그늘 진 곳에 보관한다.,
346,명란젓,연중제철,,126Kcal,유제품,꽁치,두통완화,"동지 전에 만든 것이 좋으며, 피막이 터지지 않은 것으로 구입한다. 또는 유통기한을 확인한다.",바로 사용가능하다.,밑반찬으로 먹거나 주먹밥 등 요리에 활용하여 사용할 수 있다.,밀봉하여 냉장보관한다.,
347,미림,,,146Kcal,생선,,,"침전물이 없는지 확인하고, 냄새를 맡아 부패가 없는지 확인한다.",바로 사용 가능하다.,"가열 시 설탕보다 고급스런 단 맛이 나며, 재료의 잡냄새를 없애 준다.",직사광선은 피하고 그늘 진 곳에 뚜껑을 닫고 보관한다.,
348,명엽채,연중제철,0~5℃,,,,,유통기한을 확인하고 구입한다.,한 번 데쳐 사용하거나 그냥 사용한다.,주로 볶아서 밑반찬으로 두고 많이 먹는다.,냉장보관한다.,
350,밀가루중력분,연중제철,,369Kcal,우유,,"변비예방, 대장암예방",입자가 곱고 덩어리 진 것이 없으며 백색에서 아이보리색이 좋다.,체에 쳐서 사용하거나 그냥 사용해도 무방하다.,면이나 과사로 사용할 수 있다.,밀봉하여 직사광선이 닿지 않는 건냉한 곳에 보관한다.,
351,밀가루박력분,연중제철,,370Kcal,,,,입자가 곱고 덩어리 진 것이 없으며 백색에서 아이보리색이 좋다.,체에 쳐서 사용하거나 그냥 사용해도 무방하다.,"카스텔라, 비스킷,튀김을 만든데 사용한다.",밀봉하여 직사광선이 닿지 않는 건냉한 곳에 보관한다.,
353,국간장,연중제철,18~22℃,50Kcal,다시마,,콜레스테롤 감소,색이 탁하지 않고 짠내가 심하지 않은 것을 구입한다.,바로 사용 가능하다.,국이나 찌개에 색을 내거나 간을 맞출 때 사용한다.,직사광선을 피해 뚜껑을 닫고 보관한다.,
354,깨소금,연중제철,18~22℃,582Kcal,고춧가루,,"심장병 예방, 콜레스테롤 저하, 간기능 강화",씨눈이 뾰족하고 황금색을 띠는 것이 좋다.,이물질이 없는지 확인하고 사용한다.,고소한 맛을 내거나 고명 용으로 사용한다.,"직사광선은 피하고, 밀폐하여 건조한 곳에서 보관한다.",
356,모닝빵,연중제철,-20~0℃,331Kcal,,,,유통기한을 확인하고 구입한다.,바로 사용한다.,"잼을 발라 먹거나, 중간을 갈라 샌드위치로 먹기도 한다.",장기간 보관시 냉동보관하거나 빨리 섭취한다.,
358,메밀면,연중제철,1~5℃,142Kcal,,,,유통기한을 확인하고 구입한다.,끓는 물에 삶아 사용한다.,장국을 활용해 메밀국수로 먹거나 일반 면을 대신 사용하는 국수요리로 활용할 수 있다.,직사광선을 피해 밀봉하여 통풍이 잘 되는 건냉한 곳에 보관한다.,
359,늙은호박,10~12월,1~5℃,30Kcal,팥,,"붓기제거, 이뇨작용, 해독작용, 피로회복",윤이 흐르고 주황색에 껍질이 단단한 것을 구입한다.,반으로 갈라 씨를 제거하고 사용한다.,"죽,범벅,엿, 등을 만들어 먹는다.",물기를 제거해 냉장보관한다.,
361,달래,3~4월,0~5℃,46Kcal,돼지고기,,"식욕증진, 식욕촉진, 다이어트, 춘곤증예방, 동맥경화예방",뿌리가 굵고 향이 강한 것이 좋고 줄기가 싱싱한 것이 좋다.,흐르는 물에 깨끗이 다듬어 사용한다.,"무침, 찌개, 양념 등 다양하게 활용할 수 있다.",물을 살짝 뿌려 신문지에 감은 후 냉장보관한다.,
363,무쌈,연중제철,1~5℃,26Kcal,채소,,,유통기한을 확인하고 구입한다.,물기를 제거하고 사용한다.,주로 쌈으로 사용한다.,빠르게 섭취하고 밀봉하여 냉장보관한다.,
366,디포리,5월중순~6월말,1~5℃,225Kcal,생강,,"골다공증예방, 성인병예방",등에 광이 나고 살이 흴수록 신선하지만 유통기간이 짧다.,머리와 내장을 제거하고 씻어 섭취한다.,"회로 먹거나 통째로 먹는 구이, 회무침, 젓갈로 먹을 수 있다,.",쉽게 변질 됨으로 빨리 섭취하거나 냉동 보관한다.,
368,미숫가루,연중제철,18~22℃,398Kcal,우유,,"열랑보충, 변비예방, 다이어트",축축하지 않고 고소한 냄새가 나는 것이 좋다.,바로 사용 가능하다.,"우유나 물에 타 마시거나, 소스나 죽으로도 활용 가능하다.",직사광선을 피해 밀봉하여 서늘한 곳에 보관한다.,
369,방울양배추,,1~5℃,43Kcal,,,"고지혈증, 동맥경화예방, 암예방, 심장병예방, 다이어트",녹색을 띠고 작을수록 달고 클수록 쓴다.,흐르는 물에 씻어 꼭지를 떼고 사용가능하다.,"꼭지를 떼고 그냥 생으로 먹거나, 볶거나 쪄서 사용할 수 있다.",밀봉하여 냉장보관한다.,
371,바질,연중제철,18~22℃,233Kcal,"토마토, 가지, 마늘. 치즈. 올리브유",,소화촉진,상하지 않은 것으로 구매한다.,주로 어린잎을 사용하며 건조시켜 루로 사용하거나 생으로 사용한다.,"이탈리아 요리에는 빠지지 않는 재료이며, 상쾌하고 향긋한 맛이 나 토마토와 사용한다.",직사광선을 피하고 상온에 보관한다.,
373,밀가루강력분,연중제철,10~15℃,364Kcal,계란,,,입자가 곱고 덩어리 진 것이 없으며 백색에서 아이보리색이 좋다.,체에 쳐서 사용하거나 그냥 사용해도 무방하다.,,밀봉하여 직사광선이 닿지 않는 건냉한 곳에 보관한다.,
374,반건조오징어,연중제철,-20~0℃,352Kcal,땅콩,,"피로회복, 스트레스완화",냄새가 나지 않고 두께가 적당한 것이 좋다.,찢거나 잘라 사용가능하다.,구워서 소스에 찍어 먹는다.,밀봉하여 냉동보관한다.,
375,방울토마토,7~9월,15~25℃,16Kcal,"오이,당근,올리브유",,"고혈압예방, 비만예방, 숙취해소",단단하고 붉으며 꼭지가 신선한 것이 좋다.,물에 씻고 물기를 빼고 꼭지는 제거한 후 사용한다.,"그냥 먹거나, 샐러드, 볶음, 등 다양하게 사용할 수 있다.",직사광선은 피해 건냉한 곳에서 보관한다.,
376,미니단호박,1~6월,5~10℃,70Kcal,,,"감기예방, 눈건강",무겁고 색이 짙으며 단단한 것이 좋다,표면은 베이킹소다나 굵은 소금으로 씻어주고 꼭지를 자르거나 반을 갈라 씨를 파낸 후 사용하기도 한다.,"쪄서 바로 먹기도 하고, 단호박 속에 밥이나 여러가지 재료를 채워 먹기도 하며, 죽, 스프 등 다양하게 활용할 수 있다.",직사광선이 닿지 않고 건냉한 곳에서 보관하거나 냉장보관한다.,
377,베이킹파우더,연중제철,1~5℃,51Kcal,,,"살균, 소독, 탈취",유통기한을 확인하고 구입한다.,바로 사용가능하다.,주로 제과제빵에 사용하고 빵이 부풀어 오르게 하기 위해 사용한다.,직사광선을 피해 밀봉하여 건냉한 곳에 보관한다.,
378,미소된장,,1~5℃,199Kcal,버섯,,피부미용,"유통기한을 확인하고, 시로미소는 노란색, 아카미소는 붉은색을 띤다.",바로 사용 가능하다.,국으로 많이 사용한다.,밀폐하여 냉장 보관한다.,
380,미역줄기,연중제철,1~5℃,14Kcal,식초,,"다이어트, 변비해소, 고혈압예방",윤기가 흐르고 탱탱하며 두껍고 짙은 녹색이 좋다.,끈적한 진액을 제거하고 깨끗하게 헹구고 사용 가능하다.,"짱아찌나 무침, 볶음으로 먹는다.",소금물에 세척 후 잘라 용기에 넣어 냉장 보관한다.,
382,MSG,연중제철,10~15℃,,,,,유통기한을 확인하고 구입한다.,바로 사용한다.,"국, 탕, 찌개 등에 감칠맛이 필요할 때 소량 사용한다.",직사광선을 피해 밀봉하여 건냉한 곳에 보관한다.,
383,간장,연중제철,18~22℃,69Kcal,,,콜레스테롤저하,"반투명하고, 갈색에 구수한 냄새가 나는 것이 좋다. 짠내가 나는 것은 피한다.",바로 사용가능하다.,"볶음, 조림, 탕, 국, 찌개 등 한식에 다양하게 사용되고, 간을 맞출 때 사용한다.","뚜껑을 제대로 닫고, 직사광선을 피해 보관한다.",
387,감자전분,연중제철,10~15℃,332Kcal,,,"고혈압예방, 골다공증예방",뭉쳐있지 않고 입자가 고우며 흰색을 띠는 것이 좋다.,바로 사용가능하다.,"물에 개어 반죽으로 사용하거나, 점성이 필요한 국, 탕, 찌개, 찜, 중화요리 등에 사용가능하다.",밀봉하여 건조하고 서늘한 곳에 보관한다.,
390,바게트,연중제철,-20~0℃,279Kcal,생크림,,,유통기한을 확인하고 구입한다.,슬라이스로 잘라 사용하는 것이 보편적이다.,보통 그냥 먹거나 다양한 소스에 찍어 먹는다.,최대한 빨리 섭취하고 장기보관시 냉동보관한다.,
391,부침가루,연중제철,0~5℃,382Kcal,채소,,,포장상태와 유통기한을 확인하고 구입한다.,바로 사용하거나 체에 곱게 쳐서 사용해도 된다.,주로 부침전을 할 때 사용하는 것으로 물에 개어서 사용한다.,직사광선을 피해 밀봉하여 건냉한 곳에 보관하거나 냉장보관한다.,
392,바닐라에센스,연중제철,0~5℃,113Kcal,,,"식욕증가, 긴장완화",침전물이 있는지 확인하고 유통기한을 확인한다.,침전물이 있는지 확인한다.,달콤한 향이 남으로 디저트나 빵에 첨가한다.,밀폐하여 냉장 보관한다.,
393,바닐라오일,연중,0~5℃,884Kcal,,,식욕 증가 (달콤하고 향긋한 향미를 부여하므로 식욕을 증가시킨다.),투명한 황금빛을 띠는 것이 좋으며 반드시 구입하기 전에 유통기한을 확인해야 한다.,가라앉는 물질이 없는지 확인한 후 필요한만큼 덜어서 사용한다.,베이킹시 반죽에 첨가하여 사용한다.,뚜껑을 꼭 닫아 향이 날아가지 않도록 하여 냉장 보관한다.,
394,새우젓,연중제철,0~5℃,43Kcal,,,,"육안으로 봐서 통통하고, 흰 바탕에 붉은색이 섞여있는 것이 좋다. 먹었을 때 짜지 않은 것이 좋다.",바로 사용가능하다.,"소금 대신 간을 할 때 사용할 수 있다. 주로 국, 탕, 찌개등에 사용한다.",밀폐하여 냉장보관한다.,
395,쌀가루,연중제철,1~5℃,362Kcal,호박가루,,,가루가 곱고 색이 일정한 것을 고르고 유통기한을 확인하고 구입한다.,"구입한 것을 바로 사용하거나, 말린 쌀을 곱게 갈아 사용한다.","떡을 만들거나 과자,빵을 만드는데 사용한다.",직사광선을 피해 그늘지고 서늘한 곳에 보관한다.,"쌀을 분쇄한것으로 습식과 건식 종류가 있다. 
제과 제빵용의 쌀가루는 강력쌀가루, 박력쌀가루,등이있고, 용도에 따라 쓰임새가 다르다.
다른 곡물로 만들어진 현미, 흑미 보리 등의 쌀가루도 시판되고있다."
396,샐러리,,1~5℃,16Kcal,,,"다이어트, 항암효과, 면역력증가, 시력보호, 치매예방","줄기가 적당히 크고, 광이 나고 단단하고 상처가 없으며 잎은 선명한 녹색을 띠고 줄기는 연두색에서 흰색으로 그라데이션 지는 것이 좋다.",흐르는 물에 씻어 사용한다,"주로 샐러드, 볶음, 스프 등 다양하게 사용하는데, 주스로도 마실 수 있다.",냉장보관한다.,
397,발사믹식초,연중제철,0~5℃,88Kcal,샐러드,,피로회복,유통기한을 확인하고 기품이 없는 검붉은색이 좋다.,바로 사용 가능하다.,산뜻한 맛이 있어 샐러드나 올리브유와 함께 빵에 찍어먹기도 한다.,뚜껑을 닫고 서늘한 곳에 보관한다.,
398,밤고구마,8~10월,10~22℃,128Kcal,깍두기,,"변비해소, 다이어트, 면역력증진",껍질이 붉고 속은 노란색이며 익혔을 때 푸석하며 달콤한 맛이 난다.,"흙을 씻어내고, 기호에 따라 칼질하여 사용한다. 갈변은 설탕물에 담구면 예방가능하다.","쪄서 바로 먹거나, 조림, 볶음, 전 등으로 활용가능하다..",그늘지고 서늘한 곳에 보관한다.,
400,방풍나물,,1~5℃,41Kcal,,,"피부질환, 천식, 비염, 기관지염",싱싱하고 색이 선명하며 흐물흐물하지 않는 것이 좋다.,흐르는물에 씻고 데쳐서 사용한다.,"버무리, 튀김, 무쳐먹는 것이 가장 보편적이다.",밀봉하여 냉장보관한다.,
402,배추김치,연중제철,1~5℃,25Kcal,고구마,,"항암효과, 성인병 예방, 혈액순환, 변비해소, 장운동활발","숙성도에 따라 맛이 다르니 잘 확인하고, 유통기한도 확인하고 구입한다.",그릇에 덜어 사용하거나 바로 사용할수있다.,"주로 반찬으로 먹거나, 국,탕,찌개,전,부침 등 다양하게 활용할 수 있다.",밀봉하여 냉장보관한다.,
403,백련초가루,연중제철,1~5℃,,,,"변비해소, 항암효과, 혈액순환, 면역체계강화, 독소배출",포장용기와 유통기한을 확인하고 구입한다.,사용량 만큼 덜어서 사용한다.,물이나 우유에 타먹거나 필요한 음식에 첨가하여 사용할 수 있다.,직사광선을 피해 그늘지고 서늘한 곳에 보관한다.,
406,화이트와인,10~11월,1~5℃,96Kcal,생선,,,코르크마개의 산화를 확인하고 구입한다.,바로 사용가능하다.,바로 마시거나 비린내가 나는 생선요리에 가열하여 사용한다.,개봉을 하지 않으면 지속적으로 보관가능하다.,
